"site_name","plot","Longitude","Latitude","date"
"NVWAX","0001",-119.949012744186,39.279957702853,"2026-07-01T11:17:06.000000Z"
"GAOKR","0001",-82.237720946826,31.0545780469278,"2026-07-01T05:21:05.000000Z"
"VAJRR","0001",-77.1356399998808,37.2643499997885,"2026-04-16T14:02:01.000000Z"
"NHUBR","0001",-71.0851286698317,44.6847910628163,"2026-07-01T05:21:06.000000Z"
"SCSRF","0001",-81.5002430001073,33.3560539998511,"2026-07-01T11:31:09.000000Z"
"SCPKR","0001",-80.7609723331867,32.2511670002885,"2026-07-01T11:30:05.000000Z"
"CORMP","0001",-105.582588,40.364905,"2026-07-01T03:29:06.000000Z"
"MIHIF","0001",-84.902393,46.3172290000001,"2026-07-01T05:27:06.000000Z"
"TXBAR","0001",-98.0815420629739,30.6244088365887,"2026-04-16T14:01:39.000000Z"
"WAWLR","0001",-123.980728100107,46.3708820292722,"2026-04-16T14:01:22.000000Z"
"GAHSR","0001",-81.2716709996545,31.6402446669594,"2026-07-01T05:20:06.000000Z"
"CASDU","0001",-116.8534874,33.2626161,"2026-07-01T11:17:06.000000Z"
"WANES","0001",-120.2741377,48.53100934,"2026-04-16T14:01:43.000000Z"
"MERCR","0001",-70.2868028360832,43.5970148531841,"2026-07-01T05:21:06.000000Z"
"CODSP","0001",-109.035385614002,40.4682575165919,"2026-07-01T11:13:05.000000Z"
"ALCRR","0001",-87.0598707435482,33.0646747122878,"2026-07-01T03:18:06.000000Z"
"WALPR","0001",-117.692554775786,48.4777798453667,"2026-04-16T14:02:11.000000Z"
"AZCOP","0001",-110.24965641,31.34673082,"2026-07-09T01:12:04.000000Z"
"MDBWR","0001",-75.7719059932106,38.5709174519454,"2026-07-01T05:21:06.000000Z"
"CODSP","0002",-109.036638135629,40.4685850863978,"2026-07-01T11:13:05.000000Z"
"CATCU","0002",-120.220562171622,38.2568793642484,"2026-07-01T11:16:06.000000Z"
"AZCNF","0002",-110.684502314251,31.3388454796733,"2026-07-01T03:19:05.000000Z"
"GAUGA","0002",-83.3597255853244,33.8877721546468,"2026-07-01T03:20:07.000000Z"
"AZSAP","0002",-110.548431830804,32.0352623362947,"2026-07-10T05:27:04.000000Z"
"CASBC","0002",-120.054698479917,34.6941542056056,"2026-07-01T11:15:06.000000Z"
"AZA3S","0002",-110.279696657793,31.4554013126479,"2026-07-01T05:21:06.000000Z"
"SCSRF","0002",-81.4992380000017,33.3552629999058,"2026-07-01T11:31:09.000000Z"
"ORWMR","0002",-123.331395601655,44.4281742860519,"2026-07-01T11:17:06.000000Z"
"WASES","0002",-120.808643,47.28171427,"2026-04-16T14:01:44.000000Z"
"NVWAX","0002",-119.950227242369,39.2800165733702,"2026-07-01T11:17:06.000000Z"
"CASWR","0002",-122.181071,39.4172120000001,"2026-07-01T03:28:07.000000Z"
"NJPIP","0002",-74.599587,39.918874,"2026-07-01T05:42:05.000000Z"
"GAOKR","0002",-82.252169290854,31.0575331945728,"2026-07-01T05:21:05.000000Z"
"WAOWF","0002",-120.7758989,47.2804088,"2026-04-16T14:01:45.000000Z"
"CAYNP","0002",-119.781392462188,37.7196069836682,"2026-07-01T03:21:06.000000Z"
"CASDU","0002",-116.8539558,33.2627431,"2026-07-01T11:17:06.000000Z"
"VAJRR","0002",-77.131210000278,37.2627500002169,"2026-04-16T14:02:01.000000Z"
"AZCOP","0002",-110.24628477,31.34722659,"2026-07-09T05:11:05.000000Z"
"MSGBR","0002",-88.4180999999215,30.4372000000994,"2026-07-01T02:32:06.000000Z"
"SCPKR","0002",-80.7590413335166,32.2603316663922,"2026-07-01T11:30:05.000000Z"
"ALMLR","0002",-85.7638266764052,33.6736246488738,"2026-06-30T14:59:05.000000Z"
"SCCRR","0002",-80.1828055598629,34.570879215457,"2026-07-01T11:17:06.000000Z"
"CAAEU","0002",-120.101839430614,38.9978186084907,"2026-07-01T05:41:05.000000Z"
"CORMP","0002",-105.58055,40.36446,"2026-07-01T03:39:05.000000Z"
"MIHIF","0002",-84.901416,46.3124700000001,"2026-07-01T05:27:06.000000Z"
"WALPR","0002",-117.692750000359,48.4807777776652,"2026-04-16T14:02:13.000000Z"
"AKWSP","0002",-143.591963510543,61.3772058354514,"2026-07-01T03:25:06.000000Z"
"TXBAR","0002",-98.0806999553364,30.627399322781,"2026-04-16T14:01:39.000000Z"
"FLLSR","0002",-83.0182000002323,29.4592999997759,"2026-06-30T15:40:05.000000Z"
"PA04S","0002",-79.44146842,39.82791861,"2026-07-01T11:32:07.000000Z"
"GACHF","0002",-83.6794979,33.058773,"2026-07-01T11:13:05.000000Z"
"ORBKR","0002",-123.262390242887,44.9660634344708,"2026-07-01T11:17:06.000000Z"
"UTDSP","0002",-109.05806,40.50442,"2026-04-16T14:02:26.000000Z"
"GAPDR","0002",-83.67149793,32.9967470100001,"2026-07-01T07:50:05.000000Z"
"MERCR","0002",-70.3759352775748,43.4470612158309,"2026-07-01T05:21:06.000000Z"
"WAWLR","0002",-123.98065221666,46.3668736175016,"2026-04-16T14:01:28.000000Z"
"GAHSR","0002",-81.2802429998784,31.6373499998762,"2026-07-01T05:20:06.000000Z"
